Column1,Column2,Column3,Column4,Column5,Column6,Column7
,author,title,time,content,url,Company
0,justicide (有話直說),Re: [標的] 美股 AMCX (AMC Networks) 不是AMC,Thu Jan 14 23:03:59 2021,"從站上30元那天初次PO文至今，AMCX來到了4X元。想必大家也開始考慮是否該獲利了結。
以下提供一些基本面上的看法給各位參考，討論看看是否值得長期投入：

我們來談談AMCX成為一方內容霸主的可能性：

1.AMCX在SVOD (Streaming Video On Demand，如Netflix, Disney+等)的策略核心在於1.
鎖定特定影片類型，深入了解並超服務目標客戶。 2.期待客戶在一般性的SVOD(Netflix)
以外，同時訂購其服務。

這間公司目前鎖定的幾個內容類型如下：
Shudder – 恐怖片
Acorn TV – 英式片
UMC – 黑人影片

觀察了幾間小眾競爭者LGF、DISCA等等，AMCX的策略是我目前最看好的。
細節暫不囉嗦。


2.一家人訂購多種SVOD(Netflix等)的市場可行性，在美國已經被驗證。2019年美國已平
均訂購2.45種，且趨勢向上：

On average, U.S. SVOD households are more likely to subscriber to multiple
services than their counterparts in other regions. On average, domestic
households subscribed to 2.45 SVOD services in 2019, by 2025 this will grow
to 3.21. In comparison, SVOD households globally subscribed to 1.54 SVOD
services in 2019, by 2025 this will grow to 1.82.
(https://www.mediaplaynews.com/report-u-s-dominates-global-svod-revenue/)


3.我預期：AMCX此策略下持續將資源集中投入取得某些類型的內容版權，長期下來將壟斷
數種類別內容、建構權威性、擁有良好獲取客戶成本(CPA)及黏度(Retention)，進而能獲
得超額報酬。他的支出能創造的成長率可能在傳統分析模式下被低估。

當然，以上只是描繪一個成功可能性，具體狀況還是要盯著他的每季財報及法說來判斷。

目前已知2020年其SVOD使用者”倍增”，跨過5Million，並開始獲利。如果SVOD使用者達
到10Million，SVOD這塊可能創造250Million的淨利，帶來約每年4元的EPS。該公司2019
年EPS 6.67元 Adjusted EPS 9.27元，但此獲利目前多為高速衰退中的Cable事業所創造
，長線上Cable事業貢獻可能趨近歸零。

",https://www.ptt.cc/bbs/Stock/M.1610636643.A.CB5.html,[]
1,MiniArse (型男),Re: [標的]：美國石油公司  OXY.US,Thu Jan 14 23:28:28 2021,"    來到 24.x 囉...

    WTI 西德洲原油期貨已經差不多回到去年 1 月底的水準，

    當時 OXY 最低大概也有個 $40，也就是說至少還有 6~7成的漲幅

    可以期待，不過 OPEC+ 好像協議今年一月開始要鬆綁減產了?

    目前還是抱緊處理，爽賺一波~ 期待 40~~

    PS. 也可以順便討論一下 SPG 嗎? XD
        又衝到 90 up 惹~~


※ 引述《MiniArse (型男)》之銘言：
:   原PO文當時股價在12、13附近吧，昨天上漲33%收20.79，盤後再噴9%，已經
:   22.7 了。
:   用13塊來算，波段漲幅七成五。
:   這檔在四月油價低迷的時候，還曾被列名四家可能會破產的石油公司之一，
:   如果信仰不夠強，抱著應該會很抖。
:   個人看法:
:   西德州原油期貨約收在 39 塊，以美國來看，航空公司航班與五月相比約增加
:   了27%。美國航空計畫在七月時航班可以回復到去年50%的的水準。
:   再加上歐洲一些國家如希臘已經逐漸解除旅遊管制，未來除非暴發第二波疫情，
:   那麼在主要產油國協議減產到期前，油價不太可能回到低於30的水準了...
:   西方石油主要還有之前因為併購 Anadarko 的債務問題需要解決，除了已經
:   削減股利到只剩 1 penny 之外，如果油價持續上升，將帶來更多收入。
:   另一部份就是 OXY 在德州、中東、非洲(以上沒記錯的話)的油田可以變賣。
:   在油價 2x 的時候，這些油田根本乏人問津，但如果油價回到 40 up...
:   應該是會有潛在買家。另外巴菲特和華爾街之王伊坎都是大股東，老阿巴成本
:   應該在 3x 吧(笑)，伊坎的成本也不低，這些人不敢說一定，但也許會在
:   必要時刻出手維護自身利益。
:   綜合以上所述，OXY 離破產應該愈來愈遠了，如果油價衝破 45，OXY 股價應該可
:   回到前波頸線，也就是30元以上....
:   老話一句，營虧自負，睏罷數錢..  o_O
: ※ 引述《k23040641 (kevin)》之銘言：
: : 1. 標的   OXY.US
: : 2. 分類：多
: : 3. 分析/正文：
: : 1.技術線盤整中（雖然現在的石油不看技術線）。
: : 2 消息面 便宜的油還在公海上 WTI殺低一度來到17.X 不過馬上拉回
: : 除了美油 其他都有小幅拉回  美國石油公司今晚噴噴 就決定 先拿十五萬試單
: : https://i.imgur.com/KTM2HVZ.jpg
: : https://i.imgur.com/id3Waog.jpg
: : 有希望能提早復工。只要恢復經濟秩序。
: : 疫情不要二次蔓延 基本80趴會贏
: : 加上OXY在美股算是收益穩健的公司 老巴也在3X塊大舉進場 看起來沒停損打算
: : 人生第一次跟著股神進場。希望不要被抬出場
: : 4. 進退場機制：低於十塊 每一塊進20萬
: : 高於三十視狀況出場

",https://www.ptt.cc/bbs/Stock/M.1610638110.A.21C.html,"['第一銅', '第一店', '第一保', '第一金控']"
2,poopooTaiwan (便便台灣),Re: [標的] 台積電 逃命空,Thu Jan 14 23:31:12 2021,"相信今天有空的應該都有賺錢，
但是現在ADR鬼神飆漲，
明天空單還留著的快停力回補，
不然真的會被當燃料嘎爆。

※ 引述《poopooTaiwan (便便台灣)》之銘言：
: 1. 標的：2330 台積電
: 2. 分類：空
: 3. 分析/正文：
: 曾經有版友分享過股版討論度與股價的關係
: 雖然我沒有另外做統計
: 但是1/4當天長榮2306以關鍵字搜尋""長榮""共計15篇
: 航運、陽明、萬海其他關鍵字並未計入
: 1/4也來到股價次高
: 而今日也有許多相關跡象產生
: 截至目前為止以""台積電""搜尋本日共計13篇
: 另一個跡象是虎尾幫、美林、凱基台北的分點都大量買超台積電
: 明天準備拉高出貨
: 還有一個看點就是明天法會
: +~老師說現在股價都是事先反應的當你股價已經反應這麼高之後
: 明天推出來的利多如果不是那種震天嘎響的那種、
:                     不是那種跌破市場眼鏡的超級大利多、
: 不然股價通常都是解讀叫做利多出盡。
: 總結以上很有可能今天就是最後的空點，
: 空誰？空台積電。
: 4. 進退場機制：明天早盤9:03分市價賣
: 停利:514塊回補
: 停損:610

",https://www.ptt.cc/bbs/Stock/M.1610638278.A.166.html,"['台灣煉鐵', '台積電', '長榮', '陽明', '萬海', '長榮航', '台灣大']"
3,kksis (流浪人生),Re: [標的] 台積電  追高多,Thu Jan 14 23:38:57 2021,"今日又進場買了100股總共600股，我知道上看1千感覺很可笑，但有夢最美希望相隨，買
台積電就是一種信仰，總之看了老蘇的節目讓我信心大增，有錢就持續買進，買，買，買
就對了台股真的不曉得要買什麼，無腦2330就好了




※ 引述《kksis (流浪人生)》之銘言：
: 1. 標的：   台積電(2330)
: 2. 分類：多
: 3. 分析/正文：買護國神山台積電是一種信仰，台積電擠進世界第九大的公司，連inte
l
: 都要把單外包給台積電，聯發科，蘋果，高通等都是台積電的客戶，台積電缺的不是單
，
: 缺的是人才，今年單滿到大客戶不給折扣了，這種世界第一的公司現在不買難道要等10
00
: 元再買？
: 明日法說會過後  就讓台積帶領台股奔向兩萬，短線台積看1000，中期1500，長期挑戰
股
: 王大立光直奔3000
: 4. 進退場機制：已經進場，停損：沒必要吧，因為不可能

",https://www.ptt.cc/bbs/Stock/M.1610638739.A.6F2.html,"['聯發', '第一銅', '台積電', '聯發科', '第一店', '第一保', '第一金控', '大立光電', '大立', '世界先進', '世界先進']"
4,agqee (ptt),Re: [標的] 4976 佳凌 嘎空多,Thu Jan 14 23:44:28 2021,"※ 引述《agqee (ptt)》之銘言：
: 1. 標的：4976 佳凌
: 2. 分類：多
: 3. 分析/正文：
: 很多人覺得不值得這個價位
: 因此券資比越來越高
: 不怕死的空軍
: 加上轉虧為盈話題
: 主力大舉買進 嘎空！！
: 冒險多
: 4. 進退場機制：
: 50以上買進 45停損
: 嘎到融券退到1000張以下再停利

自回一下，從買進後到現在
期間雖然遇到營收不佳有震檔跌了一下
但是lidar的技術未來應用市場大
搭配今年開始的電動車熱潮 今天漲停拉
手上獲利來到100% 慶賀一下

雖然前三季開出來的eps為負
但是股價看的是未來
車用鏡頭 此檔捨我其誰

有同事抱怨手上好幾家eps2-3的
股價竟連佳凌一半都不到

但股票就是這樣
有話題 有未來性
加上融券從沒降到1000張以下
券資比來到30%以上
後續仍有得瞧


ps. 電動車相關概念股 真的是一檔接一檔爆發 @@

",https://www.ptt.cc/bbs/Stock/M.1610639070.A.44D.html,[]
5,w3710193 (w3710193),Re: [標的] 鴻海 轉型市值多,Thu Jan 14 22:42:58 2021,"※ 引述《w3710193 (w3710193)》之銘言：
: 1. 標的：    鴻海2317
: 2. 分類：多
: 3. 分析:
:   基本面:鴻海積極轉型,如果真心要轉型,必先炒市值,不然怎麼跟人談生意
:   夢想面:鴻海電動車 1月就是要作夢 因為是一年中的開始
:   技術面:目前連2根紅K爆大量
: 正文：
:    公公很簡單,做組裝這種簡單的事,大家都看不起他,今天公公痛徹心扉力拚轉型,
:    談合作跟談生意,沒市值怎麼談?必先炒一波市值,以後有鴻海電動車,現在是元月份
:    先作夢再說不管成不成功,股票會先漲.你懂海海就會幫助你.
: 4. 進退場機制：進場:明後天回檔找機會進場
:                停利:200
:                停損:好公司不需要停損



首先恭喜有跟到的

明日操作

因今日漲停沒鎖死

買盤很強沒錯

但大型權值股絕對不允許這樣暴漲
如果是股本小的 股票就沒關係

根據上次台積電跳空漲停第二天466的經驗

明天開高6%以上 直接放空

平盤附近買回

然後默默再等公公爬上130



https://i.imgur.com/xqNGz2z.jpg

",https://www.ptt.cc/bbs/Stock/M.1610635380.A.7A2.html,"['鴻海', '台積電']"
6,abc2090614 (casperxdd),Re: [標的] 美股APPS SQ CRWD 多,Thu Jan 14 18:58:58 2021,"
非投資建議純個人看法。

晚上睡一睡突然懂了，FUBO到底想幹嘛。

他買獨斷體育賽事合約造成上季毛利是負的，這看起來極危險但沒關係。他其實講明白了就是賭博平台。但跟 DraftKing 或ㄧ般的線上投注網站不同的是他可以實現讓人ㄧ邊看電視一邊賭。

想像你現在在FUBO看NBA總冠軍戰，剩5秒湖人落後兩分，FUBO知道你在看，趁他們叫暫停時推送一個通知到你手機上說「下注：湖人能不能在剩下五秒內絕殺？」觀眾點下去馬上可以賭個一塊兩塊。

體育賭博的收入一般是下注額的10%，一場NBA比賽平均有一百萬人次看(Nielsen數據），如果FUBO能搶下10%市佔然後一人下注10元的情況下，下注總額一百萬元，FUBO扣掉50%成本後可以賺50000元。NBA例行賽總共打1230場，一年從NBA例行賽可淨賺$61M，這看起來不高但這是可能達成的目標。

再說一次：它的商機是機上盒的即時投注。

它目前問題跟我之前提的一樣是毛利超低，上季是負的，負16%。另一個問題是對使用者收費相當高，最基本的一個月也要$65。但Q3 YoY paid subscription 成長58%所以目前看來還不是問題。

長期來說潛力很大，但「如果」很多

1. FUBO能搶下多少市佔
2. 是否能持續獨佔CTV的體育賽事，花多少錢。這對毛利影響極大。
3. 能否推出國際業務如Netflix。它主打賽事之一是足球，但目前只有美國有Fubo.tv，美國人不看足球。完全不合。他如果能打入拉美或歐洲市場那潛力無限，但這類通常跟當地法規有關無法強求。

短期內是在買夢想而不是一檔確定的好投資。現在市價$2.5b，我打算在我的長期帳戶買3%來觀察。這種上上下下超大而且不確定性高的我會閉著眼睛不管價格一個月內dollar cost averaging來買。也不可能買到超過APPS、CRWD、SQ(各佔20-25%）或DDOG（10%）的佔比。

",https://www.ptt.cc/bbs/Stock/M.1610621940.A.CDC.html,[]
7,suliwen76 (半個鄉民),[標的] 3413 京鼎 全力做多,Thu Jan 14 19:57:52 2021,"1. 標的：3413 京鼎

2. 分類：多

3. 分析/正文：
我先承認自己買在208
再發這篇標的文可以說是推薦
也可以說是請別人抬轎
但眼看就快突破順風口
又手癢來發標的文
要跟不跟就請自行判斷啦

首先台積電設備概念股網路上一查就一堆
家登、弘塑、京鼎、漢唐、帆宣、辛耘
中砂、萬潤、昇陽半、公準、盟立、光罩等等
那為什麼獨挑京鼎呢
那是因為他是裡面唯一一間鴻海的子公司
最近鴻海這樣漲帶動各子公司一起漲
京鼎其實比起鴻準、乙盛-KY、訊芯-KY來講漲幅沒那麼大
而且頗有嘎空的跡象
況且台積電這麼誇張的資本支出
明天這些設備概念股一定有一段行情
最好情況就是明天台積電不漲資金輪動給其他股票
這樣子京鼎大漲的機率更高

4. 進退場機制：
市價進場 設5%停損 上漲不停利請繼續加碼
買高可以賣更高 低接都在套 追高都在賺


",https://www.ptt.cc/bbs/Stock/M.1610625474.A.F72.html,"['鴻海', '台積電', '光罩', '漢唐', '盟立', '突破', '萬潤', '帆宣', '昇陽']"
8,kan0622 (On my way),Re: [標的] VIAC,Thu Jan 14 20:23:00 2021,"好像很久沒更新了，來更新一下

目前看來有線電視付費用戶的下降速度還是持續，雖然趨緩,
從2020 Q3的-6.5%到Q4的-4.5%，
但這現象已經變成了各家媒體公司開展DTC策略的壓力。
以往傳統媒體公司通過基本的有線電視網絡會員費產生了可觀的利潤，
但現在由於付費電視用戶的減少，到2021年它將面臨持續的長期壓力。
畢竟, 從Nielsen提供的最新數據顯示，在20年第二季度，
串流媒體使用量已佔電視總使用量的25％，在2019年Q4是19％，2019年Q2則為16％。


這強調了媒體公司需要成功地從傳統的付費電視捆綁業務轉向DTC的串流媒體服務。
到2021Q1，可見的幾乎每家傳統媒體公司都將在市場上提供DTC串流媒體服務，
每家都提供不同的定價和內容服務，並在技術和內容上進行了大量投資，
許多投資者也都密切關注DTC訂戶的增長和流失狀況。


回到VIAC，他將在2021年初將CBS All Access to Paramount +的品牌重塑為催化劑，
以推動進一步推動長期用戶增長。儘管目前電影相關內容的實力相對較弱，
目前只有約150個，而迪士尼+則為500+個，HBO Max則為1300個，
與其他串流媒體競爭者相比，派拉蒙+的優勢是的電視劇的內容很大。
具體來說，預計到2021年初，該服務將擁有30,000集以上，
相比之下，迪士尼+和HBO Max分別為7,500+和8,000+。
此外，CBS All Access與其他的差異點在於，其重點在於體育直播節目，
包括體育節目（NFL，SEC足球，NCAAM，UEFA足球），
新聞（所有本地CBS分支機構和國家新聞）以及其他娛樂活動（格萊美獎，ET Live等）。


下一階段，先繼續觀察接下來super bowl後的一個數據吧。


BTW，坦白說DIS也是個好標的，只是股價的恢復比想像中還快。


",https://www.ptt.cc/bbs/Stock/M.1610626982.A.984.html,[]
