t_index	term	df
1	aan	1
2	aaron	2
3	ab	1
4	aback	1
5	abahd	1
6	abandon	39
7	abat	1
8	abc	49
9	abdallah	2
10	abdel	3
11	abdomin	2
12	abduct	2
13	abdul	16
14	abdullah	40
15	abdurahman	1
16	aberr	1
17	abhad	1
18	abhiyan	1
19	abhorr	2
20	abid	8
21	abidin	4
22	abidjan	36
23	abijan	1
24	abil	32
25	abl	105
26	ablaz	3
27	abnorm	1
28	aboard	93
29	abobo	3
30	abolish	4
31	abomin	1
32	abort	7
33	abou	1
34	abound	4
35	about	1
36	abovo	1
37	abraham	10
38	abreast	1
39	abrego	1
40	abroad	52
41	abrog	2
42	abrupt	1
43	abruptli	4
44	abscam	1
45	absenc	6
46	absent	4
47	absente	7
48	absentia	3
49	absolut	43
50	absorb	10
51	abstain	1
52	abstent	1
53	absurd	2
54	abu	7
55	abund	2
56	abus	29
57	abuzaakouk	1
58	abyan	5
59	abyssinian	1
60	academ	6
61	academi	4
62	academia	1
63	acced	1
64	acceler	4
65	accent	2
66	accentu	2
67	accept	124
68	access	41
69	accid	32
70	accident	3
71	accommod	11
72	accompani	33
73	accomplic	5
74	accomplish	10
75	accord	145
76	accordingli	1
77	accordion	1
78	account	125
79	accredit	1
80	accumul	2
81	accur	14
82	accuraci	1
83	accus	131
84	accustom	2
85	ace	27
86	acerb	2
87	achiev	32
88	acid	2
89	acknowledg	55
90	acolyt	1
91	acosta	1
92	acquaint	1
93	acquiesc	1
94	acquir	5
95	acquisit	1
96	acquit	5
97	acquitt	3
98	acr	1
99	acrimoni	2
100	acrobat	5
101	acronym	1
102	across	120
103	act	135
104	action	94
105	activ	90
106	activist	19
107	actor	4
108	actress	2
109	actual	66
110	ad	119
111	adam	8
112	adapt	5
113	add	18
114	adden	1
115	addit	74
116	address	64
117	adem	1
118	aden	169
119	adequ	7
120	adher	4
121	adiksa	1
122	adjac	4
123	adjam	2
124	adjoin	3
125	adjourn	3
126	adjust	7
127	adlai	1
128	adm	44
129	admen	1
130	administ	9
131	administr	115
132	admir	38
133	admiralti	1
134	admiringli	1
135	admiss	2
136	admit	40
137	ado	2
138	adob	1
139	adolesc	2
140	adopt	17
141	adorn	1
142	adoubi	1
143	adra	1
144	adrain	1
145	adrenalin	1
146	adriat	1
147	adrift	4
148	adult	10
149	advanc	66
150	advani	1
151	advantag	21
152	adventist	1
153	adventur	2
154	advers	2
155	adversari	2
156	advertis	12
157	advic	6
158	advis	84
159	advisor	10
160	advisori	2
161	advoc	13
162	advocaci	2
163	aegi	5
164	aerial	3
165	aeroflot	1
166	affabl	1
167	affair	48
168	affect	29
169	affection	1
170	affili	6
171	affirm	6
172	afflict	1
173	afford	7
174	affront	2
175	afghan	17
176	afghanistan	46
177	afi	2
178	afibia	1
179	afield	1
180	afir	2
181	afl	2
182	afloat	13
183	afoul	1
184	afraid	28
185	afredo	1
186	africa	65
187	african	49
188	aft	3
189	aftehock	1
190	aftermath	14
191	afternoon	64
192	aftershock	43
193	afterward	13
194	afundament	1
195	agarw	1
196	agassi	47
197	agbayani	1
198	age	42
199	agenc	117
200	agenda	14
201	agent	83
202	ager	8
203	agglomer	1
204	aggrav	12
205	aggress	24
206	agil	1
207	agit	1
208	ago	207
209	agon	6
210	agoni	3
211	agonizingli	1
212	agre	77
213	agreement	49
214	agricultur	15
215	agustin	1
216	ah	1
217	aha	1
218	ahead	53
219	ahemdabad	1
220	ahm	15
221	ahmad	1
222	ahmadabad	2
223	ahmar	1
224	ahmedabad	20
225	ahold	1
226	ahren	1
227	ai	1
228	aid	158
229	aida	2
230	ail	5
231	ailment	1
232	aim	35
233	ainst	1
234	air	175
235	aircraft	27
236	airdrop	2
237	airfield	1
238	airforc	1
239	airlift	4
240	airlin	6
241	airlock	1
242	airman	1
243	airmen	11
244	airplan	7
245	airport	49
246	airstrik	3
247	airtim	2
248	airwav	1
249	airway	3
250	aisl	3
251	aj	1
252	ajax	1
253	ajnar	3
254	akaka	2
255	akan	2
256	akin	3
257	akishio	1
258	akouedo	1
259	al	108
260	ala	5
261	alabama	5
262	alain	1
263	alami	1
264	alamoudi	1
265	alan	5
266	alarm	19
267	alasan	1
268	alaska	3
269	alaskan	1
270	alassan	27
271	albani	1
272	albania	1
273	albanian	18
274	albeit	4
275	albert	1
276	alberto	66
277	albright	47
278	album	1
279	alce	3
280	alcohol	5
281	alehandr	1
282	alejandro	14
283	aleksa	1
284	aleksandar	6
285	aler	1
286	alert	62
287	alessio	4
288	alex	10
289	alexa	2
290	alexand	9
291	alexandria	1
292	alexei	1
293	alexeyev	1
294	alexsand	1
295	alfonso	1
296	alfr	2
297	alfredo	1
298	algeria	3
299	algerian	5
300	ali	44
301	alia	2
302	alibi	1
303	alien	3
304	alight	1
305	align	5
306	alija	1
307	alik	9
308	alisan	2
309	alisha	1
310	aliv	84
311	allah	1
312	allahabad	2
313	allahbad	1
314	allan	1
315	alleg	72
316	allegedli	23
317	allegi	1
318	allen	22
319	allentown	1
320	alley	2
321	alleyway	3
322	alli	86
323	allianc	10
324	alliz	1
325	allot	1
326	allow	133
327	allud	2
328	allus	5
329	alma	1
330	almagor	1
331	almost	118
332	alon	39
333	along	118
334	alongsid	39
335	alou	1
336	alpha	2
337	alphabet	3
338	alpin	1
339	alreadi	164
340	also	477
341	alter	8
342	altern	20
343	although	83
344	altitud	1
345	altogeth	4
346	aluminum	2
347	alun	6
348	alway	93
349	amad	3
350	amanda	17
351	amarillo	2
352	amartej	3
353	amaru	4
354	amass	4
355	amateur	2
356	amaz	10
357	amazingli	1
358	ambassador	47
359	ambersag	1
360	ambigu	1
361	ambit	8
362	ambiti	2
363	ambival	2
364	ambul	11
365	ambush	1
366	ameli	6
367	amend	2
368	amerasian	1
369	america	128
370	american	353
371	americorp	1
372	amh	1
373	ami	2
374	amiabl	2
375	amic	1
376	amid	51
377	amidship	2
378	amin	1
379	amit	1
380	amman	2
381	ammo	1
382	ammonium	1
383	ammunit	22
384	amnesia	2
385	amnesti	2
386	among	182
387	amongst	2
388	amount	30
389	amp	5
390	amphibi	3
391	ampl	2
392	ampli	1
393	amplifi	1
394	amput	12
395	ana	7
396	anacostia	1
397	analges	1
398	analog	1
399	analysi	9
400	analyst	38
401	analyz	5
402	anarch	2
403	anathema	1
404	anatoli	8
405	anca	4
406	ancestor	3
407	ancestr	25
408	ancestri	1
409	anchor	8
410	anchorag	2
411	anchorman	3
412	ancient	4
413	andean	6
414	anderson	4
415	andi	5
416	andjelkov	1
417	andoslavia	1
418	andr	48
419	andrea	14
420	andrei	2
421	andrew	15
422	andrik	1
423	anew	7
424	angel	13
425	anger	46
426	angl	12
427	anglican	1
428	angri	27
429	angrili	4
430	anguish	8
431	anim	2
432	animist	2
433	animos	11
434	anjana	1
435	anjar	6
436	anjay	1
437	ank	2
438	ankl	9
439	ann	11
440	anna	21
441	annabel	1
442	annacon	1
443	annan	13
444	anniversari	15
445	announc	164
446	annoy	2
447	annual	18
448	annul	11
449	anomali	1
450	anonym	63
451	anoth	263
452	answer	51
453	antagon	1
454	antasiaovich	1
455	antenna	2
456	anthem	6
457	anthoni	27
458	anthropologist	2
459	anti	85
460	antiballist	1
461	antibiot	5
462	anticip	17
463	anticlimact	1
464	antonia	6
465	antonin	1
466	antonio	26
467	anwar	4
468	anxieti	3
469	anxiou	11
470	anxious	2
471	anybodi	14
472	anymor	9
473	anyon	58
474	anyth	94
475	anytim	4
476	anyway	13
477	anywher	18
478	aon	1
479	ap	20
480	apart	69
481	ape	1
482	apec	4
483	apex	1
484	apolit	1
485	apolog	18
486	appal	1
487	appallingli	1
488	appar	193
489	apparatu	7
490	appeal	95
491	appear	196
492	appel	1
493	appetit	2
494	appl	3
495	applaud	10
496	applaus	8
497	appleton	2
498	appli	18
499	applic	16
500	appoint	68
501	appointe	3
502	apprais	2
503	appreci	16
504	apprehend	4
505	apprehens	2
506	apprentic	3
507	appris	1
508	approach	49
509	appropri	18
510	approv	25
511	approxim	12
512	april	67
513	aprista	4
514	apron	1
515	aquil	2
516	ar	3
517	arab	61
518	arabi	1
519	arabia	71
520	arabian	44
521	arafat	16
522	arantxa	3
523	arazi	7
524	arbadi	1
525	arbit	1
526	arbitrari	2
527	arbitrarili	1
528	arc	1
529	arch	2
530	archaeolog	2
531	archbishop	4
532	archer	1
533	archeri	4
534	archetyp	1
535	archi	5
536	archibald	1
537	architect	7
538	architectur	4
539	arctic	6
540	ardent	4
541	arduou	1
542	are	2
543	area	186
544	arena	22
545	aretz	1
546	argentin	1
547	argentina	10
548	argu	45
549	arguabl	2
550	argument	18
551	ari	1
552	arid	5
553	arif	1
554	arisen	1
555	arithmet	1
556	aritomi	4
